0,0,0,0
0.1,0,0.014,0.014
0.2,0,0.069,0.069
0.3,-1,0.208,0.206
0.4,-1,0.364,0.361
0.5,-2,0.514,0.514
0.6,-3,0.661,0.661
0.7,-3,0.803,0.806
0.8,-4,0.947,0.947
0.9,-4,1.089,1.089
1,-4,1.231,1.231
1.1,-5,1.369,1.372
1.2,-5,1.511,1.514
1.3,-5,1.658,1.658
1.4,-5,1.797,1.797
1.5,-6,1.942,1.944
1.6,-6,2.083,2.083
1.7,-7,2.225,2.225
1.8,-7,2.361,2.367
1.9,-7,2.503,2.511
2,-7,2.642,2.653
2.1,-7,2.783,2.792
2.2,-7,2.931,2.936
2.3,-6,3.069,3.078
2.4,-5,3.208,3.217
2.5,-4,3.353,3.361
2.6,-4,3.489,3.5
2.7,-3,3.636,3.65
2.8,-2,3.778,3.792
2.9,-1,3.914,3.931
3,0,4.058,4.075
3.1,1,4.2,4.217
3.2,2,4.336,4.356
3.3,5,4.481,4.5
3.4,6,4.619,4.644
3.5,6,4.761,4.783
3.6,5,4.906,4.925
3.7,5,5.047,5.061
3.8,4,5.189,5.197
3.9,4,5.331,5.339
4,5,5.472,5.481
4.1,7,5.608,5.625
4.2,9,5.753,5.772
4.3,12,5.892,5.914
4.4,13,6.031,6.056
4.5,13,6.172,6.197
4.6,12,6.314,6.336
4.7,13,6.453,6.475
4.8,16,6.597,6.622
4.9,18,6.742,6.769
5,20,6.878,6.906
5.1,22,7.019,7.047
5.2,24,7.158,7.192
5.3,25,7.3,7.331
5.4,26,7.444,7.472
5.5,29,7.583,7.611
5.6,31,7.728,7.758
5.7,34,7.867,7.9
5.8,36,8.011,8.044
5.9,37,8.15,8.183
6,38,8.292,8.322
6.1,38,8.431,8.458
6.2,40,8.575,8.603
6.3,42,8.717,8.747
6.4,44,8.856,8.886
6.5,47,8.994,9.031
6.6,50,9.139,9.175
6.7,51,9.281,9.314
6.8,52,9.419,9.456
6.9,53,9.561,9.594
7,55,9.703,9.736
7.1,57,9.844,9.881
7.2,58,9.986,10.025
7.3,60,10.128,10.167
7.4,62,10.267,10.306
7.5,64,10.406,10.447
7.6,66,10.547,10.592
7.7,67,10.689,10.731
7.8,70,10.831,10.869
7.9,73,10.975,11.014
8,76,11.114,11.156
8.1,78,11.258,11.3
8.2,80,11.4,11.442
8.3,82,11.539,11.581
8.4,83,11.675,11.719
8.5,85,11.819,11.861
8.6,87,11.964,12.006
8.7,89,12.108,12.147
8.8,90,12.247,12.286
8.9,92,12.389,12.428
9,93,12.531,12.569
9.1,94,12.672,12.711
9.2,96,12.814,12.853
9.3,97,12.958,12.992
9.4,99,13.097,13.131
9.5,100,13.239,13.275
9.6,103,13.375,13.414
9.7,105,13.514,13.556
9.8,107,13.658,13.703
9.9,109,13.797,13.842
10,111,13.95,13.994
10.1,113,14.083,14.128
10.2,116,14.225,14.269
10.3,118,14.364,14.408
10.4,120,14.506,14.553
10.5,122,14.647,14.692
10.6,122,14.792,14.833
10.7,123,14.936,14.972
10.8,124,15.075,15.108
10.9,126,15.219,15.25
11,127,15.358,15.392
11.1,130,15.503,15.536
11.2,131,15.639,15.675
11.3,133,15.786,15.819
11.4,134,15.928,15.961
11.5,135,16.067,16.097
11.6,135,16.208,16.239
11.7,135,16.353,16.381
11.8,134,16.497,16.519
11.9,135,16.639,16.658
12,137,16.778,16.8
12.1,141,16.925,16.947
12.2,142,17.058,17.086
12.3,143,17.197,17.225
12.4,144,17.342,17.369
12.5,143,17.481,17.508
12.6,144,17.625,17.647
12.7,144,17.764,17.786
12.8,145,17.911,17.931
12.9,146,18.05,18.069
13,148,18.192,18.214
13.1,149,18.331,18.353
13.2,150,18.472,18.497
13.3,150,18.611,18.636
13.4,151,18.756,18.781
13.5,151,18.897,18.914
13.6,151,19.039,19.056
13.7,151,19.186,19.197
13.8,151,19.325,19.333
13.9,151,19.467,19.475
14,151,19.608,19.617
14.1,151,19.747,19.753
14.2,151,19.903,19.903
14.3,151,20.039,20.039
14.4,151,20.178,20.181
14.5,151,20.317,20.319
14.6,151,20.461,20.464
14.7,150,20.6,20.603
14.8,151,20.744,20.747
14.9,151,20.883,20.886
15,151,21.028,21.031
15.1,151,21.167,21.169
15.2,150,21.311,21.311
15.3,150,21.447,21.447
15.4,149,21.592,21.589
15.5,149,21.736,21.733
15.6,149,21.878,21.875
15.7,149,22.019,22.014
15.8,148,22.161,22.153
15.9,148,22.3,22.292
16,147,22.442,22.431
16.1,147,22.581,22.572
16.2,146,22.728,22.717
16.3,145,22.869,22.858
16.4,144,23.011,22.997
16.5,143,23.153,23.136
16.6,142,23.294,23.278
16.7,140,23.433,23.414
16.8,139,23.578,23.558
16.9,137,23.719,23.7
17,136,23.861,23.842
17.1,135,24.003,23.986
17.2,135,24.139,24.125
17.3,136,24.283,24.272
17.4,135,24.425,24.414
17.5,135,24.564,24.558
17.6,135,24.703,24.697
17.7,135,24.844,24.842
17.8,135,24.986,24.983
17.9,135,25.131,25.125
18,135,25.272,25.267
18.1,135,25.411,25.406
18.2,135,25.55,25.547
18.3,135,25.697,25.694
18.4,135,25.836,25.833
18.5,135,25.978,25.975
18.6,135,26.119,26.114
18.7,134,26.264,26.258
18.8,135,26.403,26.4
18.9,135,26.544,26.542
19,134,26.686,26.683
19.1,134,26.825,26.822
19.2,133,26.967,26.964
19.3,133,27.111,27.106
19.4,132,27.25,27.242
19.5,132,27.389,27.383
19.6,133,27.531,27.525
19.7,133,27.669,27.669
19.8,134,27.808,27.808
19.9,133,27.953,27.953
20,134,28.092,28.092
20.1,133,28.236,28.233
20.2,133,28.375,28.369
20.3,133,28.519,28.517
20.4,133,28.658,28.658
20.5,133,28.803,28.8
20.6,132,28.942,28.939
20.7,132,29.086,29.081
20.8,131,29.225,29.217
20.9,131,29.369,29.361
21,131,29.508,29.503
21.1,131,29.65,29.647
21.2,131,29.792,29.786
21.3,131,29.933,29.928
21.4,131,30.078,30.069
21.5,131,30.214,30.208
21.6,130,30.358,30.347
21.7,130,30.497,30.489
21.8,129,30.639,30.631
21.9,129,30.781,30.769
22,128,30.928,30.914
22.1,127,31.069,31.053
22.2,126,31.208,31.189
22.3,123,31.353,31.331
22.4,120,31.492,31.467
22.5,117,31.633,31.611
22.6,115,31.775,31.753
22.7,114,31.919,31.894
22.8,113,32.058,32.036
22.9,112,32.203,32.181
23,110,32.342,32.317
23.1,108,32.481,32.458
23.2,106,32.622,32.603
23.3,105,32.764,32.744
23.4,104,32.908,32.889
23.5,104,33.047,33.031
23.6,104,33.192,33.175
23.7,103,33.331,33.317
23.8,102,33.472,33.456
23.9,100,33.614,33.597
24,98,33.764,33.744
24.1,97,33.897,33.878
24.2,95,34.039,34.017
24.3,94,34.183,34.158
24.4,92,34.322,34.297
24.5,90,34.464,34.439
24.6,88,34.608,34.583
24.7,86,34.75,34.725
24.8,84,34.892,34.867
24.9,82,35.031,35.006
25,81,35.172,35.144
25.1,80,35.314,35.286
25.2,78,35.456,35.431
25.3,77,35.597,35.572
25.4,75,35.742,35.719
25.5,74,35.881,35.856
25.6,72,36.022,35.997
25.7,70,36.164,36.136
25.8,69,36.308,36.281
25.9,67,36.45,36.419
26,66,36.592,36.561
26.1,64,36.731,36.7
26.2,62,36.875,36.842
26.3,60,37.017,36.983
26.4,59,37.158,37.122
26.5,57,37.303,37.267
26.6,55,37.442,37.408
26.7,52,37.586,37.547
26.8,50,37.725,37.689
26.9,48,37.867,37.831
27,46,38.008,37.969
27.1,45,38.15,38.111
27.2,43,38.292,38.25
27.3,42,38.436,38.394
27.4,40,38.575,38.536
27.5,37,38.717,38.675
27.6,33,38.858,38.819
27.7,31,39,38.961
27.8,29,39.144,39.106
27.9,28,39.286,39.253
28,27,39.425,39.392
28.1,26,39.567,39.536
28.2,22,39.711,39.681
28.3,17,39.853,39.819
28.4,13,39.994,39.958
28.5,12,40.139,40.1
28.6,12,40.272,40.236
28.7,12,40.414,40.383
28.8,12,40.55,40.525
28.9,12,40.706,40.683
29,11,40.839,40.817
29.1,10,40.981,40.956
29.2,9,41.122,41.094
29.3,8,41.267,41.239
29.4,7,41.406,41.381
29.5,7,41.542,41.517
29.6,5,41.683,41.658
29.7,4,41.831,41.803
29.8,2,41.969,41.942
29.9,0,42.111,42.081
30,0,42.258,42.222
